title,label
Best Books and Videos on Sales,['books']
Books with high signal to noise ratio from Hacker News,['books']
How to Read Math,['mathematics']
Why most supplements fail,
Computational Intelligence,['theory']
Best Paper Awards in Computer Science since 1996,['papers']
Deep Learning Summer School 2015 at Montreal,"['deep learning', 'course']"
Resource on Cell Biology and Genetic,['resource']
College Math Notes,"['mathematics', 'notes']"
How to read scientific article,['how-to']
Building Recommender System in Python Using Stochastic Gradient Descent,"['recommendation system', 'python']"
UX Design Deliverables,['ux']
Example: FE Development Portfolio,['web development']
How to use data to monitor the job market,"['application', 'data science']"
100 Days of Swift,['mobile development']
Guide to SQL Thinking,"['sql', 'guide']"
Android Tutorials,"['mobile development', 'tutorial']"
Good math visualizations,"['mathematics', visualization']"
Definitive Guide to Form Based Web Authentication,['web development']
Google's Technical Skills Checklist,['career']
How to wireframe,['ux']
GAMF Interview Questions for UX Researchers,['interview']
Who is Hiring,['hiring']
Recommendation Engine from Spotify,"['recommendation system', 'python']"
How to learn advanced math,"['mathematics', 'how-to']"
Sick Interface: Launchaco,
Sick Interface: Kilokilo,
Drawing of how ketosis work,
Text Feature Extraction,['nlp']
How web fonts work?,['web development']
An overview of gradient descent optimization algorithms,"['machine learning', 'algorithms']"
PCA Step by Step in Python,"['algorithms', 'python']"
Woodworking for Beginners,['guide']
Computer Science Bottom Up,"['computer science', 'course']"
Statistical Concepts Visualization,"['statistics', 'visualization']"
Compendium of Conjugate Priors,['mathematics']
Practical Deep Learning,['deep learning']
AWS Spot Instances,
Gaussian correlation inequality (GCI),['mathematics']
Gradient Descents,"['mathematics', 'machine learning']"
Arxiv Sanity,['papers']
L1 vs L2 Regularization,['machine learning']
Batch Norm Backpropagation,"['neural network', 'deep learning']"
Build a Modern Computer from First Principles: Nand to Tetris Part II ,['computer science']
When not to use deep learning,['deep learning']
Penetration Testing for Web Apps,['web development']
Documenting Python Code,"['python', 'best practice']"
Decentralized Application from MIT,
Readings in Database Systems,
Every byte of a TLS connection explained and reproduced,['computer science']
Computer Networking,['computer science']
Art & Spirit in Mathematics: The Lessons of Japanese Temple Geometry,['mathematics']
Linux Screen Tutorial,
Lapa Ninja - Web design inspiration,
Kalman Filter Explained,['algorithm']
How to simulate a CPU,
WebGL Fluid Simulation,
Understanding Gaussian Process,['mathematics']
Depth of Field,
Data oriented design,
Notes on Large Scale Adversarial Learning,['machine learning']
