title,label
Four Steps To Turn Big Data Into Action,['big data']
9 Amazing Ways Big Data Is Used Today to Change the World,['big data']
"Data Science and Moneyball: A Profile of Pete Skomoroch, Principal Data Scientist at LinkedIn",['data science']
"Stanford Algorithm Analyzes Sentence Sentiment, Advances Machine Learning",['machine learning']
Machine Learning for Relevance and Serendipity,['machine learning']
How Python became the Language of Choice for Data Science,"['python', 'data science']"
Neuroscientists Develop 5D Data Visualization Technique,['data visualization']
Visual Image Extraction: Parham Aarabi Interview - ModiFace CEO & University of Toronto Professor,['computer vision']
Five Stages of Data Grief,['data']
"Interview with Data Scientist and Top Kaggler, Mr. Steve Donoho",['interview']
Big Data - Real and Practical Use Cases,"['big data', 'use cases']"
Machine Learning via Large Scale Brain Simulations,['machine learning']
"In The Hospital Of The Future, Big Data Is One Of Your Doctors","['big data', 'healthcare']"
Foursquare: How We Built Our Model Training Engine,['engineering']
"At MailChimp, Data Science Works Behind The Scenes",['data science']
Kayak Uses Big Data To Predict The Best Day To Book Your Travel Journey,['big data']
Six Interview Vignettes for Data Scientists,['interview']
"Junior Data Scientist, zulily",['data science']
Weather Forecasting With Twitter & Pandas,['forecasting']
A Neural Network Application: Predicting the Stock Market,"['neural network', 'deep learning']"
Data Story: John Foreman Of MailChimp On The Data Science Behind Emails,['use case']
Self-Study Guide To Machine Learning,['guide']
Teaching A Computer To Read: NLP Hacking In Python,['nlp']
How LinkedIn Is Using Data To Help You Find The Right Career,['industry']
Deep Neural Network Learns Language From Wikipedia,['nlp']
Natural Language Processing In The Kitchen,['nlp']
The Field Guide To Data Science,['guide']
Advanced Design Patterns In Python,"['python', 'designed patterns']"
How Machine Learning Can Transform Online Dating: Kang Zhao Interview,['interview']
Playing Atari With Deep Reinforcement Learning,['reinforcement learning']
Data Science Year In Review,"['data science', 'review']"
Why Is Machine Learning The Most Popular Course At Stanford?,"['machine learning', 'question']"
K-means Clustering 86 Single Malt Scotch Whiskies,['algorithm']
The Brain’s Visual Data-Compression Algorithm,['algorithm']
Geoff Hinton - Recent Developments in Deep Learning,['deep learning']
Do Deep Nets Really Need to be Deep?,['deep learning']
Data Science 101: Data Analysis MOOC Post-Mortem,['data science']
How Do I Become A Data Scientist?,"['data science', 'question']"
Six Reasons Why I Recommend Scikit-Learn,['libraries']
ConvNetJS: Deep Learning In Your Browser,['deep learning']
How I Made $500k With Machine Learning And High Frequency Trading,['trading']
"FrankenImage: An Image-Based, Non-Photorealistic Renderer",['computer vision']
Six Novel Machine Learning Applications,"['applications', 'machine learning']"
How To Identify Outliers In Your Data,"['data science', 'how-to']"
A Simple Machine Learning Method To Detect Covariate Shift,"['data shift', 'mlops']"
Data Science For Business: NYC Media Lab Interview With Foster Provost,"['data science', 'business', 'interview']"
Using Deep Learning To Listen For Whales,['deep learning']
Computer Science: The Learning Machines,['computer science']
Predicting Hospital Readmissions: Laura Hamilton (Additive Analytics),"['healthcare', 'data science']"
"Machine Learning To Process, Analyze Video Content","['computer vision', 'machine learning']"
Understanding The Consumer Journey Through Location Data,['gis']
Data Science in Python,"['data science', 'python']"
Finding The K In K-Means Clustering,['algorithm']
Create Real-Time Graphs With PubNub And D3.js,['data visualization']
This Amazing Image Algorithm Learns to Spot Objects Without Human Help,['computer vision']
How Search Engines Use Machine Learning for Pattern Detection,"['machine learning', 'application']"
"Using Artificial Intelligence to detect Fraud, Waste & Abuse",['ai']
Stanford Statistical Learning MOOC,"['statistics', 'course']"
A List of Data Science and Machine Learning Resources,"['data science', 'resource']"
Learning Curves in scikit learn,['libraries']
What's New in ggplot-0.4?,['libraries']
Using Data Mining to Predict the Winter Olympics Medal Counts in Sochi,['data mining']
Deep Learning: Teaching Computers To Think Like People,['deep learning']
Backtesting a Forecasting Strategy for the S&P500 in Python with Pandas,"['forecasting', 'python']"
The Role of Algorithms in Data Visualization,['algorithm']
Bayesian Bandits - Optimizing Click Throughs with Statistics,"['bayesian', 'statistics', 'bandits']"
Powering Interactive Data Analysis at Pinterest by Amazon Redshift,['industry']
An Idiot Learns Bayesian Analysis: Part 1,['bayesian']
5 important Machine Learning Papers,['papers']
From Lab to Factory: Building a Production Machine Learning Infrastructure,['mlops']
"Ten Years of NFL Plays Analyzed, Visualized, Quizzified",['use case']
Image Processing with scikit-image,['computer vision']
Academic Torrents: Making 1.67TB of Research Data available.,['dataset']
6 Video Tutorials And Playlists on Machine Learning,['tutorials']
Introduction to Python for Statistical Learning,"['python', 'statistics']"
Data Science Use Cases,['use case']
Machine Learning & Energy Efficiency: Optimum Energy/Data Guild Interview,['interview']
Distributed Neural Networks with GPUs in the AWS Cloud,['cloud']
Why Deep Learning Will Go the Way of Symbolic AI,"['deep learning', 'ai']"
Artificial Intelligence: Examining the interface between Brain and Machine,['ai']
"Sr. Analyst, Data Scientist, Comcast, Philadelphia PA","['deep learning', 'python']"
Flappy Bird hack using Reinforcement Learning,['reinforcement learning']
Why Google Is Investing In Deep Learning,['deep learning']
The Billion Dollar AI Castle in the Air,['ai']
"How to Speed up a Python Program 114,000 times",['python']
How does LinkedIn's Recommendation System work?,['recommendation system']
Spectral Clustering: Intuition and Implementation,['clustering']
Scalability of Statistical Procedures: Why the p-value bashers just don't get it,['statistics']
